pitcherFirstName,pitcherLastName,f0_,seasonType,year
Steven,Putnam,84.223913043478234,REG,2016
Yohander,Mendez,84.213333333333324,REG,2016
Zachary,Eflin,84.201143946615815,REG,2016
Oliver,Perez,84.189445196211082,REG,2016
Tyler,Skaggs,84.1351648351648,REG,2016
Aaron,Blair,84.1254996003198,REG,2016
Timothy ,Adleman,84.125328659071,REG,2016
Brady,Rodgers,84.097435897435886,REG,2016
Andrew,Bailey,84.081534772182309,REG,2016
Jose,Campos,84.060975609756085,REG,2016
Derek,Law,84.052058111380148,REG,2016
Daniel,Coulombe,84.044776119402982,REG,2016
Elvis,Araujo,84.017331022530328,REG,2016
Matthew,Marksberry,84.0135135135135,REG,2016
Brandon,McCarthy,84.001371742112539,REG,2016
Alexi,Amarista,84.0,REG,2016
Andrew,Triggs,83.980042016806692,REG,2016
Albert,Suarez,83.979432624113443,REG,2016
Tyler,Duffey,83.970411663807909,REG,2016
Jake,Thompson,83.960375391032343,REG,2016
Steven,Cishek,83.947610294117581,REG,2016
Dallas,Keuchel,83.941088739746434,REG,2016
Erik,Goeddel,83.935582822085877,REG,2016
Kyle,Lobstein,83.93062200956939,REG,2016
Robert,Anderson,83.907918968692456,REG,2016
Joshua,Phegley,83.9,REG,2016
Joshua,Edgin,83.894736842105274,REG,2016
Tyrell,Jenkins,83.8851931330472,REG,2016
Scott,Verrett,83.857583230579564,REG,2016
Christopher,Narveson,83.8473282442748,REG,2016
Alec,Asher,83.812500000000014,REG,2016
Hyun-Jin,Ryu,83.808988764044955,REG,2016
Kyle,Gibson,83.80194552529187,REG,2016
Brock,Stewart,83.7992277992278,REG,2016
Matthew,Andriese,83.781039461020285,REG,2016
Bradley,Boxberger,83.759183673469366,REG,2016
Williams,Perez,83.739420935412028,REG,2016
Thomas,Stripling,83.720515970515962,REG,2016
Christian,Friedrich,83.710659898477189,REG,2016
Jedidiah,Bradley,83.704545454545453,REG,2016
Cesar,Vargas,83.6581059390048,REG,2016
Derek,Holland,83.656167979002532,REG,2016
Dana,Eveland,83.640425531914914,REG,2016
Ubaldo,Jimenez,83.6402486402486,REG,2016
Tony,Sipp,83.624525916561339,REG,2016
Colby,Lewis,83.621254946297213,REG,2016
Steven,Johnson,83.62012987012983,REG,2016
Philip,Wilson,83.6092715231789,REG,2016
Thomas,Pomeranz,83.593878954607888,REG,2016
Justin,Marks,83.570621468926547,REG,2016
Deolis,Guerra,83.562775330396491,REG,2016
Wade,Miley,83.546647747428139,REG,2016
Casey,Kelly,83.54241645244214,REG,2016
Scott,Kazmir,83.537712895377254,REG,2016
Greg,Mahle,83.528700906344483,REG,2016
Christopher,Rusin,83.514176245210777,REG,2016
Matthew,Boyd,83.498277841561475,REG,2016
Brett,Anderson,83.497716894977188,REG,2016
Tyler,Sturdevant,83.490842490842482,REG,2016
Christopher,Devenski,83.448828606658381,REG,2016
Noe,Ramirez,83.4173913043478,REG,2016
John,Gant,83.41571871768349,REG,2016
Scott,Feldman,83.408786299329876,REG,2016
Ryan,Dull,83.399373531714943,REG,2016
